Processes,resolution,time
1,64x64,0.0396053
2,91x91,0.0459846
4,128x128,0.0624774
8,182x182,0.0819412
16,256x256,0.123121
1,128x128,0.23756
2,182x182,0.302183
4,256x256,0.437325
8,363x363,0.551376
16,512x512,0.841478
1,256x256,1.63852
2,363x363,2.12923
4,512x512,3.18004
8,725x725,8.75448
16,1024x1024,17.7421
