threads,resolution,iterations,eigenvalue,time
1, 10000, 300, 9985.355091, 36.306821
2, 10000, 300, 9985.355091, 18.613842
4, 10000, 300, 9985.355091, 9.768566
8, 10000, 300, 9985.355091, 5.768453
16, 10000, 300, 9985.355091, 4.091922
1, 10000, 300, 9985.355091, 36.245287
2, 14142, 300, 14120.701252, 36.819576
4, 20000, 300, 19970.116771, 37.212918
8, 28284, 300, 28242.182601, 38.226078
16, 40000, 300, 39932.150238, 39.031686
